label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13
trip_id,167812593,167812597,167812598,167812921,167812925,167813073,167813077,167813105,167813109,167813577,167813581,167814297,167814301
person_id,511623,511623,511623,511624,511624,511625,511625,511624,511624,511626,511626,511628,511628
household_id,203307,203307,203307,203307,203307,203307,203307,203307,203307,203307,203307,203307,203307
tour_id,20976574,20976574,20976574,20976615,20976615,20976634,20976634,20976638,20976638,20976697,20976697,20976787,20976787
primary_purpose,school,school,school,school,school,escort,escort,eatout,eatout,school,school,work,work
trip_num,1,1,2,1,1,1,1,1,1,1,1,1,1
outbound,True,False,False,True,False,True,False,True,False,True,False,True,False
trip_count,1,2,2,1,1,1,1,1,1,1,1,1,1
purpose,school,shopping,Home,school,Home,escort,Home,eatout,Home,school,Home,work,Home
destination,878,909,961,961,961,959,961,1005,961,961,961,17,961
origin,961,878,909,961,961,961,959,961,1005,961,961,961,17
destination_logsum,,3.7453903135139934,,,,,,,,,,,
depart,8.0,14.0,19.0,8.0,14.0,15.0,16.0,14.0,18.0,7.0,14.0,7.0,19.0
trip_mode,SHARED3FREE,SHARED3FREE,SHARED2FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED2FREE,WALK,WALK,DRIVE_HVY,DRIVE_HVY
mode_choice_logsum,-2.6365612450439317,-2.342894279337755,-2.542161757225248,-1.3125996957821169,-1.3427360786280886,0.8735954043838329,0.861664316876982,-0.6119943601848749,-0.6821801447602563,-1.2211905365598446,-1.2211905365598446,-2.506635096980216,-1.6097651596336215
