alternative,utility
trip_id,167812597.0
0,-7.275050507394479
1,-6.155349573244397
2,-7.706376189020444
3,-1.4772587384746876
4,-0.6251950500674379
5,0.04765636519989158
6,0.43994146280536395
7,1.490449076566284
8,1.001049348989386
9,1.9166238026973588
10,0.8755678132916422
11,1.0227631044722525
12,0.6053977670376582
13,0.23059372698501956
14,1.7423548380583078
15,1.5482911039734892
16,1.2376677929091633
17,-1.5665968322613493
18,-1.2572130818128562
19,-0.24307510398629262
20,-0.1839031428464306
21,-0.39310280967232547
22,-3.0371146557425908
23,-3.4215937848444273
24,-999.0
25,-999.0
26,-999.0
27,-999.0
28,-999.0
29,-999.0
