label,value
tour_id,20976634
person_id,511625
tour_type,escort
tour_type_count,1
tour_type_num,1
tour_num,1
tour_count,1
tour_category,non_mandatory
number_of_participants,1
destination,959.0
origin,961
household_id,203307
tdd,
start,
end,
duration,
composition,
destination_logsum,12.423752462893992
destination_in_cbd,0
num_person_joint_tours,0
ptype,4
num_children,3
roundtrip_auto_time_to_work,56.10000228881836
num_mand,0
num_escort_tours,1
num_non_escort_tours,0
adult,True
start_previous,5
end_previous,5
