label,value_1,value_2,value_3,value_4,value_5,value_6
tour_id,20976574,20976615,20976697,20976787,20976638,20976634
person_id,511623,511624,511626,511628,511624,511625
tour_type,school,school,school,work,eatout,escort
tour_type_count,1,1,1,1,1,1
tour_type_num,1,1,1,1,1,1
tour_num,1,1,1,1,1,1
tour_count,1,1,1,1,1,1
tour_category,mandatory,mandatory,mandatory,mandatory,joint,non_mandatory
number_of_participants,1,1,1,1,2,1
destination,878.0,961.0,961.0,17.0,1005.0,959.0
origin,961.0,961.0,961.0,961.0,961.0,961.0
household_id,203307,203307,203307,203307,203307,203307
tdd,65.0,60.0,44.0,49.0,139.0,146.0
start,8.0,8.0,7.0,7.0,14.0,15.0
end,19.0,14.0,14.0,19.0,18.0,16.0
duration,11.0,6.0,7.0,12.0,4.0,1.0
composition,,,,,children,
destination_logsum,,,,,12.357525705235004,12.423752462893992
tour_mode,SHARED3FREE,SHARED3FREE,WALK,DRIVE_HVY,SHARED2FREE,SHARED3FREE
mode_choice_logsum,-2.5460472302926864,-0.2861513413978223,-0.28941810601880974,-1.8104744440130072,-1.34643495993444,-1.0575960858883335
atwork_subtour_frequency,,,,no_subtours,,
parent_tour_id,,,,,,
stop_frequency,0out_1in,0out_0in,0out_0in,0out_0in,0out_0in,0out_0in
primary_purpose,school,school,school,work,eatout,escort
