alternative,utility
tour_id,20976634.0
0,8.427844730814822
1,8.545214168459305
2,8.354907111565751
3,8.690201964268008
4,8.769760426061637
5,8.698220250232147
6,8.887369002835872
7,8.92995973074528
8,8.928349240165247
9,8.948432413849417
10,8.939653275002954
11,9.021310784027847
12,9.01906996296182
13,9.094002497071273
14,9.777799890867513
15,9.20827178166499
16,9.886772818318743
17,10.480613969472385
18,10.351729815103202
19,9.892440119212441
20,8.98709683954052
21,8.638384210319408
22,8.623276172587564
23,-999.0
24,-999.0
25,-999.0
26,-999.0
27,-999.0
