label,value_1,value_2,value_3,value_4,value_5,value_6
tour_id,20976574,20976615,20976638,20976697,20976787,20976634
person_id,511623,511624,511624,511626,511628,511625
tour_type,school,school,eatout,school,work,escort
tour_type_count,1,1,1,1,1,1
tour_type_num,1,1,1,1,1,1
tour_num,1,1,1,1,1,1
tour_count,1,1,1,1,1,1
tour_category,mandatory,mandatory,joint,mandatory,mandatory,non_mandatory
number_of_participants,1,1,2,1,1,1
destination,878.0,961.0,1005.0,961.0,17.0,959.0
origin,961.0,961.0,961.0,961.0,961.0,961.0
household_id,203307,203307,203307,203307,203307,203307
tdd,65.0,60.0,139.0,44.0,49.0,146.0
start,8.0,8.0,14.0,7.0,7.0,15.0
end,19.0,14.0,18.0,14.0,19.0,16.0
duration,11.0,6.0,4.0,7.0,12.0,1.0
composition,,,children,,,
destination_logsum,,,12.357525705235004,,,12.423752462893992
tour_mode,SHARED3FREE,SHARED3FREE,SHARED2FREE,WALK,DRIVE_HVY,SHARED3FREE
mode_choice_logsum,-2.5460472302926864,-0.2861513413978223,-1.34643495993444,-0.28941810601880974,-1.8104744440130072,-1.0575960858883335
atwork_subtour_frequency,,,,,no_subtours,
parent_tour_id,,,,,,
Unnamed: 0,512354,512355,512355,512357,512359,512356
edu,5.0,5.0,5.0,4.0,16.0,16.0
work_at_home,0,0,0,0,0,0
p_hispanic,no,no,no,no,no,no
MAR,5,5,5,5,1,1
hispanic.1,0,0,0,0,0,0
worker,0,0,0,0,1,1
earning,0.0,0.0,0.0,0.0,50000.0,30000.0
hispanic,0,0,0,0,0,0
person_age,19 and under,19 and under,19 and under,19 and under,35 to 60,20 to 35
sex,1,1,1,2,1,2
age,9,9,9,7,36,34
PNUM,3,4,4,5,2,1
school_zone_id,961,904,904,947,-1,-1
work_zone_id,-1,-1,-1,-1,998,36
hours,0.0,0.0,0.0,0.0,40.0,40.0
student,1,1,1,1,0,0
race_id,6,6,6,6,6,6
relate,2,2,2,2,1,0
race,asian,asian,asian,asian,asian,asian
person_sex,male,male,male,female,male,female
TAZ,961,961,961,961,961,961
ptype,7,7,7,7,1,4
pemploy,4,4,4,4,1,1
pstudent,1,1,1,1,3,3
home_x,-122.2909233,-122.2909233,-122.2909233,-122.2909233,-122.2909233,-122.2909233
home_y,37.786775,37.786775,37.786775,37.786775,37.786775,37.786775
age_16_to_19,False,False,False,False,False,False
age_16_p,False,False,False,False,True,True
adult,False,False,False,False,True,True
male,True,True,True,False,True,False
female,False,False,False,True,False,True
has_non_worker,False,False,False,False,False,False
has_retiree,True,True,True,True,True,True
has_preschool_kid,False,False,False,False,False,False
has_driving_kid,False,False,False,False,False,False
has_school_kid,True,True,True,True,True,True
has_full_time,True,True,True,True,True,True
has_part_time,False,False,False,False,False,False
has_university,False,False,False,False,False,False
student_is_employed,False,False,False,False,False,False
nonstudent_to_school,False,False,False,False,False,False
is_student,True,True,True,True,False,False
is_gradeschool,True,True,True,True,False,False
is_highschool,False,False,False,False,False,False
is_university,False,False,False,False,False,False
school_segment,1,1,1,1,0,0
is_worker,False,False,False,False,True,True
home_taz,961,961,961,961,961,961
value_of_time,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,7.268461794470672,7.268461794470672
_hh_vot,7.268461794470672,7.268461794470672,7.268461794470672,7.268461794470672,7.268461794470672,7.268461794470672
school_taz,878,961,961,961,-1,-1
distance_to_school,8.119999885559082,0.7599999904632568,0.7599999904632568,0.7599999904632568,,
roundtrip_auto_time_to_school,34.13999938964844,4.019999980926514,4.019999980926514,4.019999980926514,0.0,0.0
workplace_taz,-1,-1,-1,-1,17,5
workplace_location_logsum,,,,,13.803802910741892,13.847861295705853
distance_to_work,,,,,11.979999542236328,12.390000343322754
workplace_in_cbd,False,False,False,False,True,True
work_taz_area_type,,,,,1.0,0.0
roundtrip_auto_time_to_work,0.0,0.0,0.0,0.0,52.0,56.10000228881836
work_auto_savings,0.0,0.0,0.0,0.0,128.3662109375,101.59939575195312
work_auto_savings_ratio,0.0,0.0,0.0,0.0,1.0,0.8466616272926331
free_parking_at_work,False,False,False,False,True,False
job_sector,False,False,False,False,True,True
telework_option,False,False,False,False,True,True
telework,False,False,False,False,False,True
cdap_activity,M,M,M,M,M,N
travel_active,True,True,True,True,True,True
under16_not_at_school,False,False,False,False,False,False
has_preschool_kid_at_home,False,False,False,False,False,False
has_school_kid_at_home,False,False,False,False,False,False
mandatory_tour_frequency,school1,school1,school1,school1,work1,
work_and_school_and_worker,False,False,False,False,False,False
work_and_school_and_student,False,False,False,False,False,False
num_mand,1,1,1,1,1,0
num_work_tours,0,0,0,0,1,0
num_joint_tours,0,1,1,1,0,0
non_mandatory_tour_frequency,0,0,0,0,0,32
num_non_mand,0,0,0,0,0,1
num_escort_tours,0,0,0,0,0,1
num_eatout_tours,0,0,0,0,0,0
num_shop_tours,0,0,0,0,0,0
num_maint_tours,0,0,0,0,0,0
num_discr_tours,0,0,0,0,0,0
num_social_tours,0,0,0,0,0,0
num_non_escort_tours,0,0,0,0,0,0
gt2,1,1,1,1,1,1
hh_workers,two or more,two or more,two or more,two or more,two or more,two or more
hispanic_status_of_head,0,0,0,0,0,0
num_workers,2.0,2.0,2.0,2.0,2.0,2.0
race_of_head,6,6,6,6,6,6
hh_income,gt60-lt100,gt60-lt100,gt60-lt100,gt60-lt100,gt60-lt100,gt60-lt100
age_of_head,34,34,34,34,34,34
recent_mover,0,0,0,0,0,0
seniors,1.0,1.0,1.0,1.0,1.0,1.0
VEHICL,3,3,3,3,3,3
hh_age_of_head,lt35,lt35,lt35,lt35,lt35,lt35
income,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0
hh_size,four or more,four or more,four or more,four or more,four or more,four or more
hh_children,yes,yes,yes,yes,yes,yes
lcm_county_id,6001,6001,6001,6001,6001,6001
tenure_mover,rent not recent,rent not recent,rent not recent,rent not recent,rent not recent,rent not recent
serialno,2012000354796,2012000354796,2012000354796,2012000354796,2012000354796,2012000354796
tenure,2,2,2,2,2,2
sf_detached,no,no,no,no,no,no
hh_race_of_head,asian,asian,asian,asian,asian,asian
hh_cars,two or more,two or more,two or more,two or more,two or more,two or more
hh_seniors,yes,yes,yes,yes,yes,yes
block_id,60014287001014,60014287001014,60014287001014,60014287001014,60014287001014,60014287001014
gt55,0,0,0,0,0,0
hispanic_head,no,no,no,no,no,no
hh_type,7,7,7,7,7,7
hhsize,6,6,6,6,6,6
HHT,4,4,4,4,4,4
sample_rate,0.0,0.0,0.0,0.0,0.0,0.0
chunk_id,598,598,598,598,598,598
income_in_thousands,80.0,80.0,80.0,80.0,80.0,80.0
income_segment,3,3,3,3,3,3
median_value_of_time,10.44,10.44,10.44,10.44,10.44,10.44
hh_value_of_time,7.268461794470672,7.268461794470672,7.268461794470672,7.268461794470672,7.268461794470672,7.268461794470672
num_non_workers,4.0,4.0,4.0,4.0,4.0,4.0
num_drivers,3,3,3,3,3,3
num_adults,3,3,3,3,3,3
num_children,3,3,3,3,3,3
num_young_children,0,0,0,0,0,0
num_children_5_to_15,3,3,3,3,3,3
num_children_16_to_17,0,0,0,0,0,0
num_college_age,0,0,0,0,0,0
num_young_adults,1,1,1,1,1,1
non_family,True,True,True,True,True,True
family,False,False,False,False,False,False
home_is_urban,False,False,False,False,False,False
home_is_rural,False,False,False,False,False,False
auto_ownership,3,3,3,3,3,3
av,0,0,0,0,0,0
hh_work_auto_savings_ratio,1.8466615676879883,1.8466615676879883,1.8466615676879883,1.8466615676879883,1.8466615676879883,1.8466615676879883
num_under16_not_at_school,0,0,0,0,0,0
num_travel_active,6,6,6,6,6,6
num_travel_active_adults,3,3,3,3,3,3
num_travel_active_preschoolers,0,0,0,0,0,0
num_travel_active_children,3,3,3,3,3,3
num_travel_active_non_preschoolers,6,6,6,6,6,6
participates_in_jtf_model,True,True,True,True,True,True
joint_tour_frequency,1_Eat,1_Eat,1_Eat,1_Eat,1_Eat,1_Eat
num_hh_joint_tours,1,1,1,1,1,1
auPkRetail,9.62110189736206,9.62110189736206,9.62110189736206,9.62110189736206,9.62110189736206,9.62110189736206
auPkTotal,12.291746139526367,12.291746139526367,12.291746139526367,12.291746139526367,12.291746139526367,12.291746139526367
auOpRetail,9.904668024659404,9.904668024659404,9.904668024659404,9.904668024659404,9.904668024659404,9.904668024659404
auOpTotal,12.563990592956543,12.563990592956543,12.563990592956543,12.563990592956543,12.563990592956543,12.563990592956543
trPkRetail,0.9307435586428149,0.9307435586428149,0.9307435586428149,0.9307435586428149,0.9307435586428149,0.9307435586428149
trPkTotal,3.4397530555725098,3.4397530555725098,3.4397530555725098,3.4397530555725098,3.4397530555725098,3.4397530555725098
trOpRetail,0.2078692618802925,0.2078692618802925,0.2078692618802925,0.2078692618802925,0.2078692618802925,0.2078692618802925
trOpTotal,1.8007595539093018,1.8007595539093018,1.8007595539093018,1.8007595539093018,1.8007595539093018,1.8007595539093018
nmRetail,2.881488873037887,2.881488873037887,2.881488873037887,2.881488873037887,2.881488873037887,2.881488873037887
nmTotal,6.3904337882995605,6.3904337882995605,6.3904337882995605,6.3904337882995605,6.3904337882995605,6.3904337882995605
objectid,579,579,579,579,579,579
district,18,18,18,18,18,18
county,Alameda,Alameda,Alameda,Alameda,Alameda,Alameda
gacres,727.484331445,727.484331445,727.484331445,727.484331445,727.484331445,727.484331445
Shape__Are,0.000187754811122,0.000187754811122,0.000187754811122,0.000187754811122,0.000187754811122,0.000187754811122
Shape__Len,0.06535867388971,0.06535867388971,0.06535867388971,0.06535867388971,0.06535867388971,0.06535867388971
