alternative,utility
tour_id,48410863.0
0,-18.614271674233784
1,-18.61518206008663
2,-19.711970463040238
3,-19.04879507727304
4,-19.0496821776039
5,-17.681503025631145
6,-17.68239009816309
7,-16.05085691459029
8,-15.35362740199973
9,-16.005344325066233
10,-15.720467937506758
11,-16.72692106632813
12,-17.526171082946394
13,-17.58257956861681
14,-18.28465433966101
15,-18.285558471527608
16,-18.162016391533257
17,-19.044780034330824
18,-19.398990144983358
19,-15.527553234177935
20,-16.624364894847975
21,-16.62525202298439
22,-15.962076637217196
23,-14.772154130042253
24,-14.5947845855753
25,-13.530864792996992
26,-12.265998687814166
27,-12.266908961943884
28,-12.37885695076051
29,-13.022918743409239
30,-13.541222113181846
31,-14.49495696494255
32,-15.112383381120626
33,-15.197935899605163
34,-15.074387813076253
35,-15.957151472347617
36,-16.3113615994725
37,-15.049144171764041
38,-15.050024825376438
39,-15.050905465917971
40,-13.196913985884516
41,-13.19779460028935
42,-11.966694301371817
43,-11.26945711917332
44,-10.702723098901075
45,-10.163856737741373
46,-11.204735206496919
47,-11.35776376638636
48,-12.030538529545025
49,-13.545283900161522
50,-13.546180652926173
51,-13.510149869100847
52,-14.39290584964371
53,-14.74710829880977
54,-15.122971013774062
55,-15.12385166738646
56,-13.933922700422194
57,-13.270740827894537
58,-12.217875154039477
59,-11.342381356661562
60,-11.34328396118334
61,-10.236781006661218
62,-10.626852825709722
63,-11.176711504859952
64,-11.487094930448384
65,-12.720887624114708
66,-13.619110742171543
67,-13.498425864989748
68,-14.465830231981077
69,-14.820032696851257
70,-17.129714869548465
71,-15.939785915655063
72,-15.940666556196597
73,-14.223716373854348
74,-13.526479223093604
75,-13.349125212435965
76,-12.810258882707865
77,-12.632694108393949
78,-12.53175188211925
79,-13.238959682686357
80,-14.110361038782449
81,-14.72763147988911
82,-15.504267229678629
83,-16.38702324163436
84,-16.825874092953004
85,-16.84407403378644
86,-16.84495468739884
87,-15.79204499391741
88,-14.430745358877846
89,-14.431647994837379
90,-13.714525049929861
91,-14.104596900409968
92,-13.436023825681987
93,-13.492424975915027
94,-14.760650706989793
95,-15.015529810526223
96,-15.511207144416039
97,-17.29128952229261
98,-17.64549201857566
99,-16.84407403378644
100,-15.791142326513974
101,-15.093905207197134
102,-14.430745358877846
103,-13.8918790605875
104,-14.10369429588819
105,-14.002763591490345
106,-13.49152814773399
107,-14.108947228474689
108,-14.760650706989793
109,-14.89393096373126
110,-16.39306066528625
111,-17.644589527490137
112,-15.773943020446033
113,-15.07671362778999
114,-15.077624005362232
115,-13.874702932194046
116,-14.264782522744957
117,-13.988491585535755
118,-14.044900186433344
119,-14.094690092875469
120,-14.09559433995124
121,-14.62281801612305
122,-15.759564084365863
123,-16.730147973108913
124,-15.718498422248096
125,-15.71940881631233
126,-15.180550259634693
127,-14.906567366674713
128,-14.80853911022284
129,-14.686691096110096
130,-15.304117627515344
131,-14.737385281397808
132,-14.613796280896963
133,-16.147366725515596
134,-16.755559278085727
135,-15.718498422248096
136,-15.179639882062451
137,-15.56971950559302
138,-14.80763479960136
139,-14.864043432274842
140,-15.303213348669757
141,-15.304117627515344
142,-14.612886006085606
143,-15.495649801767172
144,-16.50066673071312
145,-15.178729487998218
146,-15.56880912802078
147,-15.470792973089646
148,-14.863139121653361
149,-15.480565684834504
150,-15.303213348669757
151,-15.179612323866792
152,-15.494739526955815
153,-15.848949806964697
154,-15.041969282967777
155,-14.943959179697414
156,-15.000367844152878
157,-14.953731923224254
158,-14.954636233845735
159,-14.652772565095404
160,-15.535536393748231
161,-15.32211008116457
162,-15.58047249723737
163,-15.6368607156626
164,-16.254266851090737
165,-15.591088220456127
166,-15.47544349550534
167,-16.179929401337354
168,-16.53411840824382
169,-15.635976819289372
170,-16.25338296822226
171,-16.254266851090737
172,-15.474554465493979
173,-16.357297016375547
174,-16.53322940653488
175,-18.380281893504307
176,-18.381165789877535
177,-18.265510742984212
178,-18.484190808019463
179,-18.838379843228346
180,-18.380281893504307
181,-18.26462168466383
182,-19.14736426385442
183,-18.837490813216988
184,-17.581149473243393
185,-18.463913379909286
186,-18.818123754407114
187,-25.11876232867781
188,-25.47297271967102
189,-25.472062333875336
