alternative,utility
person_id,1180752.0
0,0.0
1,-3.3624998331069946
2,-4.547599822282791
3,-7.909100204706192
4,-4.797799825668335
5,-8.159300208091736
6,-9.344400197267532
7,-12.70689907670021
8,-4.058199882507324
9,-7.419700264930725
10,-8.604800254106522
11,-11.9672991335392
12,-8.855000257492065
13,-12.217499136924744
14,-13.40259912610054
15,-16.76509991288185
16,-4.0670998096466064
17,-7.428600192070007
18,-8.613700181245804
19,-11.976199060678482
20,-8.863900184631348
21,-12.226399064064026
22,-13.411499053239822
23,-16.773999840021133
24,-8.124300241470337
25,-11.486799120903015
26,-12.671899110078812
27,-16.034399896860123
28,-12.922099113464355
29,-16.284599900245667
30,-17.469699889421463
31,-991.0382000505924
32,-3.798799902200699
33,-7.1603002846241
34,-8.345400273799896
35,-11.707899153232574
36,-8.59560027718544
37,-11.958099156618118
38,-13.143199145793915
39,-16.505699932575226
40,-7.856000334024429
41,-11.218499213457108
42,-12.403599202632904
43,-15.766099989414215
44,-12.653799206018448
45,-16.01629999279976
46,-17.201399981975555
47,-990.7699001431465
48,-7.8649002611637115
49,-11.22739914059639
50,-12.412499129772186
51,-15.774999916553497
52,-12.66269913315773
53,-16.02519991993904
54,-17.210299909114838
55,-990.7788000702858
56,-11.92309918999672
57,-15.28559997677803
58,-16.470699965953827
59,-990.0392001271248
60,-16.72089996933937
61,-990.2894001305103
62,-991.4745001196861
63,-989.0780001282692
64,-6.099100351333618
65,-9.461599230766296
66,-10.646699219942093
67,-14.009200006723404
68,-10.896899223327637
69,-14.259400010108948
70,-15.444499999284744
71,-989.0130001604557
72,-10.157299280166626
73,-13.519800066947937
74,-14.704900056123734
75,-988.2734002172947
76,-14.955100059509277
77,-988.5236002206802
78,-989.708700209856
79,-987.3122002184391
80,-10.166199207305908
81,-13.52869999408722
82,-14.713799983263016
83,-988.282300144434
84,-14.96399998664856
85,-988.5325001478195
86,-989.7176001369953
87,-987.3211001455784
88,-14.224400043487549
89,-987.7929002046585
90,-988.9780001938343
91,-986.5815002024174
92,-989.2282001972198
93,-986.8317002058029
94,-988.0168001949787
95,-985.6203002035618
