alternative,utility
person_id,1180752.0
0,7.371602889590452
1,7.362701725876198
2,7.154341590487281
3,6.9123482419625475
4,7.271721831607393
5,7.3707504175542775
6,7.051590548454589
7,7.081583304659219
8,7.736296663293414
9,7.798036466629357
10,10.16311897479817
11,7.556241516577634
12,7.724177873813923
13,8.442490538652281
14,7.9001293872901055
15,8.55246375747936
16,7.6373920573137255
17,7.436386276403509
18,7.414263146943484
19,6.728359943169282
20,6.470160369773895
21,5.803054344867637
22,-999.0
23,-999.0
24,-999.0
25,-999.0
26,-999.0
27,-999.0
28,-999.0
29,-999.0
