alternative,utility
tour_id,48410873.0
0,-14.057766111567616
1,-14.804204309359193
2,-14.351948218420148
3,-14.411744209006429
4,-15.922205688431859
5,-15.250873835757375
6,-11.736724765971303
7,-12.427568705752492
8,-13.05082950182259
9,-14.257416160777211
10,-15.020019562914968
11,-17.475186379626393
12,-12.986316781491041
13,-13.732754979282618
14,-12.649450924247503
15,-13.340294878929853
16,-14.850756358355284
17,-11.882160168141127
18,-10.665275435894728
19,-11.93446383997798
20,-12.495122950524092
21,-13.257726173847914
22,-14.278854709118605
23,-13.19709842838347
24,-13.312488662078977
25,-12.860232571139932
26,-13.551076525822282
27,-12.76427366770804
28,-12.092941815033555
29,-11.454401547089219
30,-12.660988265648484
31,-12.777663940563798
32,-13.798792297020555
33,-11.344180587679148
34,-12.090618785470724
35,-11.63836269453168
36,-10.031942311674356
37,-11.542403791099787
38,-11.449416402727365
39,-10.748274449259043
40,-11.51087773218751
41,-11.886078540235758
42,-10.492904027923942
43,-11.239342225715518
44,-8.4898217972368
45,-9.18066575191915
46,-11.269471695646644
47,-11.113882621750236
48,-9.968757232651114
49,-10.989885648712516
50,-9.94262758642435
51,-8.391801446676254
52,-7.939545355737209
53,-9.208733774721622
54,-11.234938032925129
55,-10.635365523397923
56,-9.748765267431736
57,-9.679108241572976
58,-10.425546439364552
59,-10.55163481272757
60,-11.758221546187997
61,-13.340442368760705
62,-12.999394992366433
63,-12.460831705480814
64,-13.785614367574453
65,-13.849101055413485
66,-14.611704353243113
67,-16.452450308948755
68,-13.698899632319808
69,-14.96108060888946
70,-14.580583861097693
71,-15.601712292060256
72,-14.326872818171978
73,-15.145070359110832
74,-15.023098744452
75,-15.058355638757348
76,-16.135078312829137
77,-16.048363585025072
78,-999.0
79,-999.0
80,-999.0
81,-999.0
82,-999.0
83,-999.0
84,-999.0
85,-999.0
86,-999.0
87,-999.0
88,-999.0
89,-999.0
90,-999.0
91,-999.0
92,-999.0
93,-999.0
94,-999.0
95,-999.0
96,-999.0
97,-999.0
98,-999.0
99,-999.0
100,-999.0
101,-999.0
102,-999.0
103,-999.0
104,-999.0
105,-999.0
106,-999.0
107,-999.0
108,-999.0
109,-999.0
110,-999.0
111,-999.0
112,-999.0
113,-999.0
114,-999.0
115,-999.0
116,-999.0
117,-999.0
118,-999.0
119,-999.0
120,-999.0
121,-999.0
122,-999.0
123,-999.0
124,-999.0
125,-999.0
126,-999.0
127,-999.0
128,-999.0
129,-999.0
130,-999.0
131,-999.0
132,-999.0
133,-999.0
134,-999.0
135,-999.0
136,-999.0
137,-999.0
138,-999.0
139,-999.0
140,-999.0
141,-999.0
142,-999.0
143,-999.0
144,-999.0
145,-999.0
146,-999.0
147,-999.0
148,-999.0
149,-999.0
150,-999.0
151,-999.0
152,-999.0
153,-999.0
154,-999.0
155,-999.0
156,-999.0
157,-999.0
158,-999.0
159,-999.0
160,-999.0
161,-999.0
162,-999.0
163,-999.0
164,-999.0
165,-999.0
166,-999.0
167,-999.0
168,-999.0
169,-999.0
170,-999.0
