label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11
trip_id,387286905,387286909,387286910,387286985,387286989,387287297,387287301,387287302,387287625,387287626,387287629
person_id,1180752,1180752,1180752,1180753,1180753,1180753,1180753,1180753,1180754,1180754,1180754
household_id,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291
tour_id,48410863,48410863,48410863,48410873,48410873,48410912,48410912,48410912,48410953,48410953,48410953
primary_purpose,school,school,school,atwork,atwork,work,work,work,work,work,work
trip_num,1,1,2,1,1,1,1,2,1,2,1
outbound,True,False,False,True,False,True,False,False,True,True,False
trip_count,1,2,2,1,1,1,2,2,2,2,1
purpose,school,shopping,Home,atwork,Work,work,eatout,Home,shopping,work,Home
destination,1257,1161,755,660,697,697,437,755,607,604,755
origin,755,1257,1161,697,660,755,697,437,755,607,604
failed,False,False,False,False,False,False,False,False,False,False,False
destination_logsum,,-2.803170216295622,,,,,8.385370637139209,,10.005525773014506,,
