label,value
tour_id,48410863
person_id,1180752
tour_type,school
tour_type_count,1
tour_type_num,1
tour_num,1
tour_count,1
tour_category,mandatory
number_of_participants,1
destination,1257
origin,755
household_id,456291
mandatory_tour_seg,school
hhsize,3
density_index,0.6296254323592501
age,1
age_16_p,False
age_16_to_19,False
auto_ownership,2
num_workers,2.0
value_of_time,33.35
free_parking_at_work,False
ptype,8
roundtrip_auto_time_to_work,0.0
income_in_thousands,176.0
work_and_school_and_worker,False
work_and_school_and_student,False
workplace_in_cbd,False
home_is_rural,False
mandatory_tour_frequency,school1
is_worker,False
is_student,True
is_university,False
workplace_taz,-1
school_taz,1257
TAZ,755
start_previous,5
end_previous,5
