label,value_1,value_2
tour_id,48410912,48410953
person_id,1180753,1180754
tour_type,work,work
tour_type_count,1,1
tour_type_num,1,1
tour_num,1,1
tour_count,1,1
tour_category,mandatory,mandatory
number_of_participants,1,1
destination,697,604
origin,755,755
household_id,456291,456291
mandatory_tour_seg,work,work
hhsize,3,3
density_index,0.6296254323592501,0.6296254323592501
age,38,38
age_16_p,True,True
age_16_to_19,False,False
auto_ownership,2,2
num_workers,2.0,2.0
value_of_time,50.0,50.0
free_parking_at_work,False,False
ptype,1,1
roundtrip_auto_time_to_work,69.47000122070312,31.170000076293945
income_in_thousands,176.0,176.0
work_and_school_and_worker,False,False
work_and_school_and_student,False,False
workplace_in_cbd,False,False
home_is_rural,False,False
mandatory_tour_frequency,work1,work1
is_worker,True,True
is_student,False,False
is_university,False,False
workplace_taz,697,604
school_taz,-1,-1
TAZ,755,755
start_previous,5,5
end_previous,5,5
