label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25
trip_id,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909,387286909
dest_taz,33,110,724,728,729,730,732,744,752,796,819,848,863,1014,1050,1118,1121,1122,1123,1161,1246,1250,1274,1280,1431
prob,0.00016906799282878637,6.897959974594414e-05,0.002674857387319207,0.0008215815760195255,0.0032324055209755898,0.01158805564045906,0.010845079086720943,0.003535432741045952,0.006184821482747793,0.01107559259980917,0.002141192089766264,0.004255208652466536,0.0063196164555847645,0.007921564392745495,0.0012149219401180744,0.006535181310027838,0.020631076768040657,0.04548852518200874,0.01366591639816761,0.016781553626060486,0.01226462610065937,0.014538594521582127,0.0009361200500279665,0.00543484091758728,3.710209421114996e-05
pick_count,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,1,1,1,2,1,1,1
person_id,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752
household_id,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291,456291
tour_id,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863,48410863
primary_purpose,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school
trip_num,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
trip_count,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
purpose,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping
destination,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755
origin,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257
failed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
next_trip_id,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910,387286910
tour_mode,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE
trip_period,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD
is_joint,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hhsize,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
age,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
auto_ownership,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
number_of_participants,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tour_category,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory
parent_tour_id,,,,,,,,,,,,,,,,,,,,,,,,,
duration,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
