label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25
tour_id,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746,93102746
alt_dest,133,170,173,840,845,876,907,916,929,940,941,957,973,999,1000,1002,1004,1006,1009,1010,1015,1026,1030,1049,1113
prob,0.00035478256177157164,0.00032353439019061625,0.0007159638917073607,0.001226989203132689,0.0001423722569597885,0.001139031141065061,0.003973401617258787,0.004662161692976952,0.016283929347991943,0.028398552909493446,0.04670536145567894,0.002218117704614997,0.027161652222275734,0.012865838594734669,0.006242276635020971,0.001858529169112444,0.010163688100874424,0.0034619153011590242,0.033376459032297134,0.004995489958673716,0.003862440586090088,0.013272792100906372,0.0032835640013217926,0.015593534335494041,0.005193345248699188
pick_count,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1
person_id,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798,2270798
hhsize,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
density_index,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254
age,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
age_16_p,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
age_16_to_19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
auto_ownership,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_workers,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
value_of_time,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981
free_parking_at_work,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TAZ,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974
in_period,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD
out_period,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD
duration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
number_of_participants,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
is_joint,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_parent_tour_mode,,,,,,,,,,,,,,,,,,,,,,,,,
work_tour_is_drive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_mandatory,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_joint (2),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_indiv,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is_atwork_subtour,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_escort,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ivot,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957
dest_topology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_density_index,0.9733798669637113,2.002674643154379,2.5686286119607664,0.24928747193526596,0.4895558943609516,0.45451954834105335,0.8952462613204736,0.2004460620487844,2.342940500082431,2.2501699923599503,1.4905612580306775,41.271296383137376,0.6861062229749499,1.5753364769800993,0.28532152553659246,0.24046904938367766,1.7554661535617926,0.5442017690500491,0.018252904417513087,0.2558743505380531,0.0026634959583143603,28.35188442665775,1.0957027227730531,9.93840557920621,20.791252731442373
_walk_transit_origin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
_walk_transit_destination,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
walk_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
drive_transit_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
origin_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
destination_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
origin_density_measure,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227
dest_density_measure,7677.391522093025,17078.24270254536,13495.794667108335,1448.2452368750094,7070.69264718039,2575.7481166400576,6648.197530888132,962.8554547688707,8977.197082341521,10780.950147746184,6334.102041789524,127344.92035042505,2949.5672620212044,6356.574755049302,1733.5980568567188,1692.6375892502458,9882.907496648433,5629.487252658046,2049.7025788347296,1373.394154388652,104.84621564281386,96364.83696813168,4971.168660665767,44303.562094442656,158918.721731274
origin_density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dest_density,2,1,2,4,2,3,2,4,2,2,2,1,3,2,4,4,2,2,3,4,5,1,3,1,1
origin_zone_taxi_wait_time_mean,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
origin_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_taxi_wait_time_mean,9.5,5.5,9.5,17.3,9.5,13.3,9.5,17.3,9.5,9.5,9.5,5.5,13.3,9.5,17.3,17.3,9.5,9.5,13.3,17.3,26.5,5.5,13.3,5.5,5.5
