alternative,utility
tour_id,93102746.0
0,10.037417412119057
1,10.789269689522502
2,10.335501554007621
3,10.462782734218523
4,10.379138905552267
5,10.503510480295596
6,11.013098082246938
7,11.656054792140035
8,11.07320701293888
9,12.615456774123542
10,11.61300956504595
11,11.092122492530553
12,11.79187503116064
13,11.686877440089814
14,12.123885358770456
15,11.386983084197489
16,11.864756197368315
17,11.263207084780701
18,12.295633276979512
19,11.193192014419111
20,10.870347538108188
21,11.132169654930243
22,10.45850302835088
23,11.224593460889892
24,10.405185898682781
25,-999.0
26,-999.0
27,-999.0
28,-999.0
